"No.","Time","Source","Destination","Protocol","Length","Info"
"65","45.806288","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"66","45.892248","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"67","45.909185","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"68","45.993037","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"69","46.012747","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"70","46.095240","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"71","46.107956","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"72","46.196069","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"73","46.209562","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"74","46.297991","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"75","46.332698","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"76","46.399108","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"77","46.427700","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"78","46.500620","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"79","46.543387","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"80","46.601385","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"81","46.633245","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"82","46.702823","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"83","46.735880","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"84","46.804121","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"85","46.814673","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"86","46.906132","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"87","46.915989","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"88","47.006728","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"89","47.039039","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"90","47.107684","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"91","47.119431","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"92","47.208739","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"93","47.219944","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"94","47.309034","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"95","47.320691","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"96","47.410298","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"97","47.423310","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"98","47.511558","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"99","47.529639","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"100","47.612983","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"101","47.622757","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"102","47.714515","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"103","47.723427","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"104","47.816188","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"105","47.853405","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"106","47.917276","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"107","47.925614","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"110","48.018590","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"111","48.117317","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"112","48.119447","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"113","48.156580","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"114","48.220698","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"115","48.265479","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"116","48.322403","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"117","48.339500","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"118","48.423667","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"119","48.431456","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"120","48.524792","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"121","48.534833","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"122","48.625991","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"123","48.637884","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"124","48.727005","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"125","48.736975","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"126","48.828615","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"127","48.856597","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"128","48.929743","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"129","48.957530","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
